Date,comt
1/2/2018,36.6
1/3/2018,36.83
1/4/2018,36.9
1/5/2018,36.86
1/8/2018,36.91
1/9/2018,37.23
1/10/2018,37.27
1/11/2018,37.46
1/12/2018,37.7
1/16/2018,37.47
1/17/2018,37.42
1/18/2018,37.46
1/19/2018,37.54
1/22/2018,37.71
1/23/2018,37.96
1/24/2018,38.3
1/25/2018,38.11
1/26/2018,38.42
1/29/2018,38.16
1/30/2018,37.88
1/31/2018,37.88
2/1/2018,38.1
2/2/2018,37.42
2/5/2018,36.73
2/6/2018,36.71
2/7/2018,36.28
2/8/2018,35.63
2/9/2018,35.16
2/12/2018,35.44
2/13/2018,35.55
2/14/2018,36.16
2/15/2018,36.34
2/16/2018,36.45
2/20/2018,36.43
2/21/2018,36.31
2/22/2018,36.75
2/23/2018,37.21
2/26/2018,37.39
2/27/2018,37.01
2/28/2018,36.41
3/1/2018,36.34
3/2/2018,36.32
3/5/2018,36.78
3/6/2018,36.86
3/7/2018,36.48
3/8/2018,36.3
3/9/2018,36.71
3/12/2018,36.61
3/13/2018,36.54
3/14/2018,36.53
3/15/2018,36.4
3/16/2018,36.68
3/19/2018,36.35
3/20/2018,36.59
3/21/2018,37.22
3/22/2018,36.56
3/23/2018,36.75
3/26/2018,36.87
3/27/2018,36.75
3/28/2018,36.58
3/29/2018,36.92
4/2/2018,36.23
4/3/2018,36.56
4/4/2018,36.52
4/5/2018,36.82
4/6/2018,36.3
4/9/2018,36.79
4/10/2018,37.52
4/11/2018,37.79
4/12/2018,37.84
4/13/2018,37.98
4/16/2018,37.75
4/17/2018,37.83
4/18/2018,38.57
4/19/2018,38.37
4/20/2018,38.34
4/23/2018,38.45
4/24/2018,38.13
4/25/2018,38.25
4/26/2018,38.39
4/27/2018,38.36
4/30/2018,38.41
5/1/2018,38.16
5/2/2018,38.13
5/3/2018,38.35
5/4/2018,38.66
5/7/2018,38.75
5/8/2018,38.85
5/9/2018,39.3
5/10/2018,39.55
5/11/2018,39.44
5/14/2018,39.71
5/15/2018,39.66
5/16/2018,39.92
5/17/2018,39.96
5/18/2018,39.98
5/21/2018,40.34
5/22/2018,40.3
5/23/2018,40.38
5/24/2018,40.04
5/25/2018,39.41
5/29/2018,38.9
5/30/2018,39.51
5/31/2018,39.28
6/1/2018,39.04
6/4/2018,38.69
6/5/2018,38.8
6/6/2018,39.1
6/7/2018,39.3
6/8/2018,39.24
6/11/2018,39.18
6/12/2018,39.21
6/13/2018,39.25
6/14/2018,38.96
6/15/2018,38.06
6/18/2018,38.41
6/19/2018,37.96
6/20/2018,37.94
6/21/2018,37.63
6/22/2018,38.45
6/25/2018,38.01
6/26/2018,38.3
6/27/2018,38.53
6/28/2018,38.48
6/29/2018,39.06
7/2/2018,38.32
7/3/2018,38.34
7/5/2018,38.59
7/6/2018,38.65
7/9/2018,38.99
7/10/2018,39.15
7/11/2018,37.99
7/12/2018,38.15
7/13/2018,38.21
7/16/2018,37.63
7/17/2018,37.51
7/18/2018,37.88
7/19/2018,37.7
