Date,crm
1/2/2018,104.41
1/3/2018,105.29
1/4/2018,106.68
1/5/2018,108.1
1/8/2018,108.86
1/9/2018,109.15
1/10/2018,108.8
1/11/2018,109.1
1/12/2018,110.24
1/16/2018,108.89
1/17/2018,110.04
1/18/2018,111.77
1/19/2018,111.93
1/22/2018,112.89
1/23/2018,113.24
1/24/2018,112.85
1/25/2018,111.96
1/26/2018,113.7
1/29/2018,113.3
1/30/2018,112.23
1/31/2018,113.91
2/1/2018,112.74
2/2/2018,110.78
2/5/2018,107.65
2/6/2018,109.57
2/7/2018,110.05
2/8/2018,104.03
2/9/2018,106.98
2/12/2018,108.55
2/13/2018,107.69
2/14/2018,109.02
2/15/2018,113.12
2/16/2018,112.86
2/20/2018,114.35
2/21/2018,114.48
2/22/2018,113
2/23/2018,114.96
2/26/2018,116.65
2/27/2018,116.47
2/28/2018,116.25
3/1/2018,119.43
3/2/2018,121.92
3/5/2018,122.5
3/6/2018,124.48
3/7/2018,125.33
3/8/2018,126.36
3/9/2018,127.41
3/12/2018,126.78
3/13/2018,126.73
3/14/2018,127.99
3/15/2018,127.22
3/16/2018,125.97
3/19/2018,124.98
3/20/2018,125.12
3/21/2018,121.7
3/22/2018,118.04
3/23/2018,114.43
3/26/2018,118.97
3/27/2018,113.81
3/28/2018,112.88
3/29/2018,116.3
4/2/2018,115.3
4/3/2018,116.49
4/4/2018,119.48
4/5/2018,119.04
4/6/2018,116.1
4/9/2018,117.19
4/10/2018,119.49
4/11/2018,119.16
4/12/2018,121.4
4/13/2018,119.01
4/16/2018,119.41
4/17/2018,123.35
4/18/2018,124.46
4/19/2018,124.06
4/20/2018,122.82
4/23/2018,121.89
4/24/2018,117.88
4/25/2018,117.32
4/26/2018,120.83
4/27/2018,120.22
4/30/2018,120.99
5/1/2018,123.11
5/2/2018,122.82
5/3/2018,124.41
5/4/2018,125.12
5/7/2018,126.97
5/8/2018,128.75
5/9/2018,129.73
5/10/2018,130.62
5/11/2018,130.63
5/14/2018,127.69
5/15/2018,128.13
5/16/2018,128.77
